No.;ClientName;TransactionType;Category1;Description;Price;ContractType;Surface;Area;Address;FormatedLivingArea;Rooms;Baths;Ages;PriceM2;FloorId;AdministrationPrice;Neighborhood;Stratum;Garages;Extras;Latitude;Longitude;Ascesor;Dep¢sito;ModifyDate;Link
0;La Zona Finca Raiz SAS;Venta;Apartamento;Ganga! Excelente precio,  super ubicado cerca a iglesia,  supermercados,  oficinas,  zona bancaria,  transmilenio,  v°as como avenida 68,  suba,  autopista. DUPLEX 5 Y 6 PISO,  iluminado calientico,   espacios generosos se pueden remodelar  y personalizar f†cilmente. Ideal para personas que gusten de varios ambientes. El Edificio Tiene escaleras amplias y descansadas (SIN ASCENSOR). Porter°a y vigilancia 24 horas. Contactar a CLARA INES PELAEZ por whatsapp.;360000000;Professional;110;110;cra 51 103B-81;;3;3;16 a 30 a§os;3272727.27;5;485000;Pasadena;5;1;Interiores$Calentador, Cit¢fono, Cocina Integral, Dep¢sito / Bodega, Estudio, Instalaci¢n de gas, Piso en Baldosa /  M†rmol, Zona de lavander°a|Exteriores$Porter°a / Recepci¢n|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Residencial|#Apartamento#$Duplex;4.692580223;-74.06181335;0;VERDADERO;5/27/2020 11:56:35 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-4878633.aspx
1;Ita Garciagomez;Venta;Apartamento;Apartamento Pasadena ubicad°simo cerca a iserra cien, tres elefantes, misi etc. Entre calle cien, pepe sierra,av suba y auto norte 110 mts m†s 11 mts garaje y dep¢sito excelente iluminaci¢n, amplios espacios hall de entrada y de alcobas, tres cuartos el principal cama extra grande ba§o privado tina vestier, ba§o alcobas cuarto y ba§o del servicio sala chimenea comedor cocina integral zona de lavadora y punto gas para secadora. DIRECTAMENTE negociable 458.000.000 ;458000000;Particular;121;121;Cra 50 No 103B ;110,00 m2;3;3;16 a 30 a§os;3785123.97;2;220000;Pasadena;2;1;Interiores$Ba§o Auxiliar, Calentador, Chimenea, Cit¢fono, Comedor auxiliar, Cuarto de servicio, Dep¢sito / Bodega, Hall de Alcobas, Instalaci¢n de gas, Zona de lavander°a|Exteriores$En conjunto cerrado, Garaje(s), Porter°a / Recepci¢n|del Sector$Colegios / Universidades, Parques cercanos, Sobre v°a principal, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Residencial;4.688659191;-74.06275177;0;VERDADERO;2/5/2021 3:42:04 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-3851727.aspx
2;MGM GESTION INMOBILIARIA;Venta;Apartamento;EXCELENTE APTO DUPLEX DE 125 MTS: 3 habitaciones,  la principal,  vestier y balc¢n,   3 ba§os,  sala comedor con chimenea,  estudio,  cocina tipo americano,  2 parqueaderos cubiertos,  deposito. El edificio cuenta con porter°a,  lobby,  vigilancia las 24 horas,  terraza,  parqueaderos de visitantes. Cerca a Carulla,  AlmacÇn los tres Elefantes,   bancos,  fruver,  Escuela de artes MISI. V°as de Acceso: Autopista Norte,  Carrera 53,  Av suba,  calle 100. PRECIO NEGOCIABLE.;620000000;Professional;125;125;kra 50  103b-56;125,00 m2;3;3;1 a 8 a§os;4960000;4;0;Pasadena;4;2;Interiores$Balc¢n, Barra estilo americano, Calentador, Chimenea, Cit¢fono, Cocina tipo Americano, Dep¢sito / Bodega, Estudio, Hall de Alcobas, Instalaci¢n de gas, Zona de lavander°a|Exteriores$Ascensor, Circuito cerrado de TV, Parqueadero Visitantes, Porter°a / Recepci¢n, Sal¢n Comunal, Vigilancia, Vivienda Bifamiliar|del Sector$Colegios / Universidades, Parques cercanos, Sobre v°a principal, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Comercial, Zona Residencial|#Apartamento#$Duplex;0;0;1;VERDADERO;2/15/2021 11:04:01 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5612585.aspx
3;Derek Florez;Venta;Apartamento;Hermoso apartamento en Pasadena con excelente iluminaci¢n natural y vista al exterior. Cuenta con 3 alcobas amplias cada una con su closet y ba§o privado m†s la de servicio igualmente con su closet y ba§o privado, Ba§o social. Espacios amplios con excelente iluminaci¢n y ventilaci¢n.6 a§os de construido;720000000;Particular;138;138;Cra 51  102;;4;5;1 a 8 a§os;5217391.3;5;0;Pasadena;5;2;Interiores$Balc¢n, Ba§o Auxiliar, Calentador, Cit¢fono, Cocina Integral, Cuarto de servicio, Estudio, Hall de Alcobas, Instalaci¢n de gas|Exteriores$Ascensor, Circuito cerrado de TV, En conjunto cerrado, Garaje(s), Parqueadero Visitantes, Porter°a / Recepci¢n, Sal¢n Comunal, Terraza, Vigilancia, Vista panor†mica|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Comercial, Zona Residencial;4.691382885;-74.06173706;1;FALSO;2/10/2021 2:38:09 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5828010.aspx
4;MGM GESTION INMOBILIARIA;Venta;Apartamento;Acogedor apto 70 Mtrs. 2 habitaciones,  2 ba§os. Sala comedor,  cocina integral,  zona de lavander°a,  dep¢sito y 2 parqueaderos cubiertos. Puerta de seguridad y pisos laminado italiano. Muy buena iluminaci¢n y ventilaci¢n natural. 5 a§os de construido. Admn $190.000. El edificio cuenta con porter°a 24 horas,  sal¢n social,  parqueadero visitantes. Excelentes vas de acceso: Cll 100,  116 y autopista norte,  Av Suba. Zona residencial,  cerca a parques,  centros comerciales,  bancos. PRECIO NEGOCIABLE.;440000000;Professional;70;70;CRA 50 ˙ 104B-61;70,00 m2;2;2;1 a 8 a§os;6285714.29;5;190000;Pasadena;5;2;Interiores$Ba§o Auxiliar, Calentador, Cit¢fono, Cocina Integral, Dep¢sito / Bodega, Hall de Alcobas, Instalaci¢n de gas, Zona de lavander°a|Exteriores$Ascensor, Circuito cerrado de TV, Parqueadero Visitantes, Porter°a / Recepci¢n, Sal¢n Comunal, Vigilancia|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Residencial;0;0;1;VERDADERO;2/15/2021 11:58:05 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5868303.aspx
5;CECILIA DE CASTRO;Venta;Apartamento;CONJUNTO CERRADO.PRIMER PISO ELEVADO. APARTAMENTO 101 DE LA PRIMERA TORRE. 3 ALCOBAS,   ESTUDIO,   SALA-COMEDOR,   COCINA INDEPENDIENTE,   PATIO DE ROPAS,   AMPLIA TERRAZA,   LA MAS GRANDE DEL CONJUNTO. GARAJE CUBIERTO Y DEP‡SITO.  3 BA•OS. AUTORIZADO EL USO DE PARQUEO DE VISITANTE PARA RESIDENTE. PISO LAMINADO EN AREA SOCIAL,   TAPETE EN ALCOBAS . EXCELENTE UBICACI‡N Y VISTA A LOS JARDINES DEL CONJUNTO QUE CUENTA CON MUCHOS JARDINES Y PARQUES INFANTILES,   SENDEROS PEATONALES. EXCELENTE ILUMINACI‡N.;495000000;Professional;137;137;CRA 49A 100 03;;3;3;16 a 30 a§os;3613138.69;1;400000;Pasadena;1;1;Interiores$Ba§o Auxiliar, Calentador, Cit¢fono, Cocina Integral, Dep¢sito / Bodega, Estudio, Hall de Alcobas, Instalaci¢n de gas, Piso en Baldosa /  M†rmol, Zona de lavander°a|Exteriores$Ascensor, Cancha de Squash, En conjunto cerrado, Garaje(s), Jard°n, Parqueadero Visitantes, Porter°a / Recepci¢n, Sal¢n Comunal, Terraza, Vigilancia, Vista panor†mica, Zona Infantil, Zonas Verdes|del Sector$Colegios / Universidades, Parques cercanos, Sobre v°a principal, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Comercial, Zona Residencial;4.688119888;-74.06080627;1;VERDADERO;2/15/2021 4:58:04 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5926389.aspx
6;Yina Cadena;Venta;Apartamento;Apartamento remodelado, interior pero muy iluminado, con dos terrazas.  ;700000000;Particular;145;145;Carrera 53 No. 107 - 35 apto 703;134,00 m2;3;3;16 a 30 a§os;4827586.21;7;550000;Pasadena;7;2;;0;0;0;FALSO;2/15/2021 1:42:42 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6096142.aspx
7;Karen L;Venta;Apartamento;Calle 108 Cra 47 Espectacular Apartamento de 42m2 y parqueadero Cubierto 12m2 con 1 Habitacion 2 Closets 2 Balcones 1 Ba§o Cocina Abierta Estudio Sala Comedor Zona de Ropas Independiente acabados de lujo Vista Interior a Jardines en Conjunto Exclusivo con ascensores terraza panor†mica BBQs Salas con calefactores Mesa de Pin Pon Gimnasio parqueaderos visitantes 5 A§os de Construido Arriendo Mensual 1 millon 850 mil Administraci¢n 200 Mil Predial 1 Millon Libre de Hipoteca Contacto 300 661 04 54;315000000;Particular;54;54;Carrera 47 106a 68;;1;1;1 a 8 a§os;5833333.33;0;0;Pasadena;0;1;Interiores$Balc¢n, Ba§o Auxiliar, Barra estilo americano, Calentador, Cit¢fono, Cocina Integral, Cocina tipo Americano, Comedor auxiliar, Dep¢sito / Bodega, Estudio, Hall de Alcobas, Instalaci¢n de gas, Patio, Piso en Baldosa /  M†rmol, Zona de lavander°a|Exteriores$Ascensor, Caldera, Circuito cerrado de TV, En conjunto cerrado, Garaje(s), Gimnasio, Jard°n, Parqueadero Visitantes, Porter°a / Recepci¢n, Sal¢n Comunal, Sal¢n de Juegos, Terraza, Vigilancia, Vista panor†mica, Vivienda Multifamiliar, Zona Infantil, Zonas Verdes|del Sector$Colegios / Universidades, Parques cercanos, Sobre v°a principal, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Comercial, Zona Residencial;4.695800781;-74.0578537;1;VERDADERO;2/15/2021 11:01:26 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6094857.aspx
8;CLAUDIA ROCIO RODRIGUEZ;Venta;Apartamento;Amplio iluminado ubicado en un cuarto piso consta de dos habitaciones,  tres ba§os,  sala comedor,   cocina integral abierta con barra un dep¢sito,  balc¢n y dos parqueaderos independientes el edificio cuenta con terraza,  BBQ,  sal¢n social Gym y ascensor. Cerca al almacÇn los 3 elefantes,  Carulla,  calle 100..;565000000;Professional;94;94;carrera 51  102a-63;94,00 m2;2;3;1 a 8 a§os;6010638.3;0;739000;Pasadena;0;2;Interiores$Balc¢n, Barra estilo americano, Calentador, Cit¢fono, Dep¢sito / Bodega, Estudio, Instalaci¢n de gas, Zona de lavander°a|Exteriores$Ascensor, Parqueadero Visitantes, Porter°a / Recepci¢n, Terraza, Vigilancia|del Sector$Supermercados / C.Comerciales, Zona Residencial;0;0;1;VERDADERO;2/13/2021 11:36:36 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6021995.aspx
9;Juan Sebastian Encinales Ayarza;Venta;Apartamento;Apartamento en venta de 82M2 con vista exterior a parque y chimenea, piso cer†mico y en madera. Ubicado en un 2do piso ingreso por escalera. Cuenta con 3 habitaciones, 2 ba§os, sala comedor, cocina, zona de lavander°a, cuarto de servicio con ba§o, dep¢sito y 2 parqueaderos privados con v°as acceso por la autonorte, calle 100 y avenida Suba, cerca a la estaci¢n de transmilenio de la calle 100 y 106, cerca de parques, supermercados, centros mÇdicos y droguer°as.  ;380000000;Particular;82;82;carrera 46  103 - 50;82,00 m2;3;2;16 a 30 a§os;4634146.34;2;0;Pasadena;2;2;Interiores$Ba§o Auxiliar, Calentador, Chimenea, Cit¢fono, Cuarto de servicio, Dep¢sito / Bodega, Hall de Alcobas, Instalaci¢n de gas, Patio, Piso en Baldosa /  M†rmol, Zona de lavander°a|Exteriores$Garaje(s), Porter°a / Recepci¢n, Zona Infantil, Zonas Verdes|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Residencial;4.690460205;-74.05821228;0;VERDADERO;2/13/2021 3:25:49 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6034118.aspx
